protocol,fold,model,overlap_definition,author_seen,n,accuracy
lodo,ambiente,bert-DecisionTree,author_seen_in_fit_train,False,17,0.7058823529411765
lodo,ambiente,bert-DecisionTree,author_seen_in_fit_train,True,5,0.6
lodo,ambiente,bert-DecisionTree,author_seen_in_development,False,17,0.7058823529411765
lodo,ambiente,bert-DecisionTree,author_seen_in_development,True,5,0.6
lodo,celebridades,bert-DecisionTree,author_seen_in_fit_train,False,7,0.8571428571428571
lodo,celebridades,bert-DecisionTree,author_seen_in_fit_train,True,1,0.0
lodo,celebridades,bert-DecisionTree,author_seen_in_development,False,7,0.8571428571428571
lodo,celebridades,bert-DecisionTree,author_seen_in_development,True,1,0.0
lodo,economia,bert-DecisionTree,author_seen_in_fit_train,False,4,0.75
lodo,economia,bert-DecisionTree,author_seen_in_fit_train,True,4,0.5
lodo,economia,bert-DecisionTree,author_seen_in_development,False,4,0.75
lodo,economia,bert-DecisionTree,author_seen_in_development,True,4,0.5
lodo,outros,bert-DecisionTree,author_seen_in_fit_train,False,31,0.6451612903225806
lodo,outros,bert-DecisionTree,author_seen_in_fit_train,True,13,0.6153846153846154
lodo,outros,bert-DecisionTree,author_seen_in_development,False,31,0.6451612903225806
lodo,outros,bert-DecisionTree,author_seen_in_development,True,13,0.6153846153846154
lodo,política,bert-DecisionTree,author_seen_in_fit_train,False,383,0.5274151436031331
lodo,política,bert-DecisionTree,author_seen_in_fit_train,True,52,0.5769230769230769
lodo,política,bert-DecisionTree,author_seen_in_development,False,380,0.5263157894736842
lodo,política,bert-DecisionTree,author_seen_in_development,True,55,0.5818181818181818
lodo,saúde,bert-DecisionTree,author_seen_in_fit_train,False,114,0.5701754385964912
lodo,saúde,bert-DecisionTree,author_seen_in_fit_train,True,29,0.5517241379310345
lodo,saúde,bert-DecisionTree,author_seen_in_development,False,109,0.5596330275229358
lodo,saúde,bert-DecisionTree,author_seen_in_development,True,34,0.5882352941176471
lodo,ambiente,bert-KNeighbors,author_seen_in_fit_train,False,17,0.7058823529411765
lodo,ambiente,bert-KNeighbors,author_seen_in_fit_train,True,5,0.8
lodo,ambiente,bert-KNeighbors,author_seen_in_development,False,17,0.7058823529411765
lodo,ambiente,bert-KNeighbors,author_seen_in_development,True,5,0.8
lodo,celebridades,bert-KNeighbors,author_seen_in_fit_train,False,7,0.7142857142857143
lodo,celebridades,bert-KNeighbors,author_seen_in_fit_train,True,1,0.0
lodo,celebridades,bert-KNeighbors,author_seen_in_development,False,7,0.7142857142857143
lodo,celebridades,bert-KNeighbors,author_seen_in_development,True,1,0.0
lodo,economia,bert-KNeighbors,author_seen_in_fit_train,False,4,1.0
lodo,economia,bert-KNeighbors,author_seen_in_fit_train,True,4,0.75
lodo,economia,bert-KNeighbors,author_seen_in_development,False,4,1.0
lodo,economia,bert-KNeighbors,author_seen_in_development,True,4,0.75
lodo,outros,bert-KNeighbors,author_seen_in_fit_train,False,31,0.7096774193548387
lodo,outros,bert-KNeighbors,author_seen_in_fit_train,True,13,0.6923076923076923
lodo,outros,bert-KNeighbors,author_seen_in_development,False,31,0.7096774193548387
lodo,outros,bert-KNeighbors,author_seen_in_development,True,13,0.6923076923076923
lodo,política,bert-KNeighbors,author_seen_in_fit_train,False,383,0.6370757180156658
lodo,política,bert-KNeighbors,author_seen_in_fit_train,True,52,0.5961538461538461
