protocol,fold,partition,partition_order,record_id,tweet_id,categoria,label
temporal,all,train,1,fnxptbr-0002,979056787864383489,política,fake
temporal,all,train,2,fnxptbr-0331,993990834797281280,política,true
temporal,all,train,3,fnxptbr-0001,1000008762776748033,política,fake
temporal,all,train,4,fnxptbr-0332,1000056395880980480,política,true
temporal,all,train,5,fnxptbr-0127,1000519992281092098,política,fake
temporal,all,train,6,fnxptbr-0026,1004862842502307841,outros,fake
temporal,all,train,7,fnxptbr-0004,1029836675093078016,política,fake
temporal,all,train,8,fnxptbr-0333,1037784236982501377,política,true
temporal,all,train,9,fnxptbr-0012,1038209526539927552,política,fake
temporal,all,train,10,fnxptbr-0334,1042433631354941443,política,true
temporal,all,train,11,fnxptbr-0006,1042602160599523328,política,fake
temporal,all,train,12,fnxptbr-0335,1042797000335478784,política,true
temporal,all,train,13,fnxptbr-0336,1044701723816865792,política,true
temporal,all,train,14,fnxptbr-0007,1044770606020009984,política,fake
temporal,all,train,15,fnxptbr-0337,1045055570628288514,política,true
temporal,all,train,16,fnxptbr-0338,1045401465567817730,política,true
temporal,all,train,17,fnxptbr-0008,1047608248583573505,política,fake
temporal,all,train,18,fnxptbr-0009,1055427879323009025,política,fake
temporal,all,train,19,fnxptbr-0010,1056315078763577344,política,fake
temporal,all,train,20,fnxptbr-0340,1056947518221754369,política,true
temporal,all,train,21,fnxptbr-0011,1059942049414369287,política,fake
temporal,all,train,22,fnxptbr-0341,1060857394740297728,política,true
temporal,all,train,23,fnxptbr-0339,1062163422987591681,política,true
temporal,all,train,24,fnxptbr-0345,1075188863163920384,política,true
temporal,all,train,25,fnxptbr-0342,1075454865042755586,política,true
temporal,all,train,26,fnxptbr-0344,1080427875721854977,política,true
temporal,all,train,27,fnxptbr-0014,1080429571286155264,política,fake
temporal,all,train,28,fnxptbr-0015,1081765178595835910,política,fake
temporal,all,train,29,fnxptbr-0343,1086235914073001984,política,true
temporal,all,train,30,fnxptbr-0346,1095319000526082048,política,true
temporal,all,train,31,fnxptbr-0018,1098976481714364416,política,fake
temporal,all,train,32,fnxptbr-0348,1100103982779953152,política,true
temporal,all,train,33,fnxptbr-0347,1101080457398153221,política,true
temporal,all,train,34,fnxptbr-0019,1105985865988362240,política,fake
temporal,all,train,35,fnxptbr-0349,1116337816265474048,política,true
temporal,all,train,36,fnxptbr-0021,1126196068352446464,política,fake
temporal,all,train,37,fnxptbr-0028,1126660215179550721,política,fake
temporal,all,train,38,fnxptbr-0350,1129144185561452546,política,true
temporal,all,train,39,fnxptbr-0358,1133382417517928458,política,true
temporal,all,train,40,fnxptbr-0024,1135673714668920832,política,fake
temporal,all,train,41,fnxptbr-0357,1136284440475394048,política,true
temporal,all,train,42,fnxptbr-0351,1137837611605733376,política,true
temporal,all,train,43,fnxptbr-0352,1139320609387831296,política,true
temporal,all,train,44,fnxptbr-0353,1141170637542764544,política,true
temporal,all,train,45,fnxptbr-0356,1145145575714611200,outros,true
temporal,all,train,46,fnxptbr-0354,1146471023572860929,política,true
temporal,all,train,47,fnxptbr-0013,1147518712657960960,política,fake
temporal,all,train,48,fnxptbr-0355,1150042600327352321,política,true
temporal,all,train,49,fnxptbr-0099,1154102383628247040,política,fake
temporal,all,train,50,fnxptbr-0027,1158839224734486528,política,fake
temporal,all,train,51,fnxptbr-0361,1171350163920773120,política,true
temporal,all,train,52,fnxptbr-0029,1171725657488973825,ambiente,fake
temporal,all,train,53,fnxptbr-0030,1178347056097824769,outros,fake
temporal,all,train,54,fnxptbr-0031,1179200547393548291,política,fake
temporal,all,train,55,fnxptbr-0360,1181146933877968896,outros,true
temporal,all,train,56,fnxptbr-0032,1181403866274914307,política,fake
temporal,all,train,57,fnxptbr-0364,1181614171219222529,outros,true
temporal,all,train,58,fnxptbr-0363,1181675923617275906,outros,true
temporal,all,train,59,fnxptbr-0033,1182570412577824768,outros,fake
temporal,all,train,60,fnxptbr-0359,1182780441289465858,ambiente,true
temporal,all,train,61,fnxptbr-0365,1186981361955037184,ambiente,true
temporal,all,train,62,fnxptbr-0035,1189373762283683840,ambiente,fake
temporal,all,train,63,fnxptbr-0362,1190793583047122944,política,true
