record_id,tweet_id,llm_polaridade,llm_marcadores_linguisticos
fnxptbr-0001,1000008762776748033,negativo,"ALERTA_URGENTE, APELO_A_AUTORIDADE, CAIXA_ALTA, LINK_EXTERNO, SINAL_CERTEZA, USER_MENTION"
fnxptbr-0002,979056787864383489,negativo,"CAIXA_ALTA, LINK_EXTERNO, POLARIZACAO_NOS_VS_ELES, PONTUACAO_EXCESSIVA, SINAL_DUVIDA"
fnxptbr-0003,1293123987619356672,neutro,"CAIXA_ALTA, CALL_TO_ACTION, LINK_EXTERNO, PONTUACAO_EXCESSIVA, PRESENCA_DE_DATA, URL_CURTA"
fnxptbr-0004,1029836675093078016,positivo,"APELO_A_AUTORIDADE, CALL_TO_ACTION, EMOJI, LINK_EXTERNO"
fnxptbr-0005,1532386348677709824,negativo,"APELO_A_AUTORIDADE, DISCRIMINACAO, POLARIZACAO_NOS_VS_ELES, SINAL_CERTEZA"
fnxptbr-0006,1042602160599523328,negativo,"ALERTA_URGENTE, CALL_TO_ACTION, CITACAO_CIENTIFICA, HASHTAG, IRONIA_SARCASMO, POLARIZACAO_NOS_VS_ELES, SINAL_CERTEZA, USER_MENTION"
fnxptbr-0007,1044770606020009984,negativo,"ALERTA_URGENTE, APELO_A_AUTORIDADE, CAIXA_ALTA, CALL_TO_ACTION, IRONIA_SARCASMO, POLARIZACAO_NOS_VS_ELES, PRESENCA_DE_RISADA, SINAL_DUVIDA"
fnxptbr-0008,1047608248583573505,negativo,"ALERTA_URGENTE, CAIXA_ALTA, LINK_EXTERNO, SINAL_CERTEZA, URL_CURTA"
fnxptbr-0009,1055427879323009025,negativo,"ALERTA_URGENTE, CAIXA_ALTA, CALL_TO_ACTION, HASHTAG, LINK_EXTERNO, POLARIZACAO_NOS_VS_ELES, SINAL_CERTEZA, USER_MENTION"
fnxptbr-0010,1056315078763577344,negativo,"ALERTA_URGENTE, APELO_A_AUTORIDADE, CAIXA_ALTA, CALL_TO_ACTION, HASHTAG, LINK_EXTERNO, SINAL_CERTEZA, URL_CURTA"
fnxptbr-0011,1059942049414369287,negativo,"APELO_A_AUTORIDADE, CAIXA_ALTA, CALL_TO_ACTION, DISCRIMINACAO, POLARIZACAO_NOS_VS_ELES, PONTUACAO_EXCESSIVA, PRESENCA_DE_DATA, SINAL_CERTEZA"
fnxptbr-0012,1038209526539927552,negativo,"APELO_A_AUTORIDADE, CALL_TO_ACTION, LINK_EXTERNO, PALAVRAO, POLARIZACAO_NOS_VS_ELES, SINAL_CERTEZA"
fnxptbr-0013,1147518712657960960,negativo,"ALERTA_URGENTE, APELO_A_AUTORIDADE, CAIXA_ALTA, LINK_EXTERNO, PALAVRAO, POLARIZACAO_NOS_VS_ELES, PONTUACAO_EXCESSIVA, SINAL_CERTEZA"
fnxptbr-0014,1080429571286155264,negativo,"CALL_TO_ACTION, IRONIA_SARCASMO, POLARIZACAO_NOS_VS_ELES, PONTUACAO_EXCESSIVA, USER_MENTION"
fnxptbr-0015,1081765178595835910,negativo,"ALERTA_URGENTE, CAIXA_ALTA, CALL_TO_ACTION, EMOJI, IRONIA_SARCASMO, LINK_EXTERNO, POLARIZACAO_NOS_VS_ELES, PONTUACAO_EXCESSIVA, SINAL_CERTEZA"
fnxptbr-0016,1366820525935362054,negativo,"APELO_A_AUTORIDADE, LINK_EXTERNO, URL_CURTA"
fnxptbr-0017,1495393972981846017,negativo,"CAIXA_ALTA, CITACAO_CIENTIFICA, POLARIZACAO_NOS_VS_ELES, PONTUACAO_EXCESSIVA, PRESENCA_DE_DATA"
fnxptbr-0018,1098976481714364416,negativo,"ALERTA_URGENTE, APELO_A_AUTORIDADE, LINK_EXTERNO, SINAL_CERTEZA"
fnxptbr-0019,1105985865988362240,negativo,"APELO_A_AUTORIDADE, CAIXA_ALTA, EMOJI, GIRIA, HIPERBOLE, IRONIA_SARCASMO, POLARIZACAO_NOS_VS_ELES, PONTUACAO_EXCESSIVA"
fnxptbr-0020,1578375319907487745,positivo,"APELO_A_AUTORIDADE, CALL_TO_ACTION, PRESENCA_DE_DATA, SINAL_CERTEZA, USER_MENTION"
fnxptbr-0021,1126196068352446464,neutro,"ALERTA_URGENTE, APELO_A_AUTORIDADE, CAIXA_ALTA, LINK_EXTERNO, PRESENCA_DE_DATA"
fnxptbr-0022,1194936725174394886,positivo,"APELO_A_AUTORIDADE, CALL_TO_ACTION, LINK_EXTERNO, POLARIZACAO_NOS_VS_ELES, SINAL_CERTEZA"
fnxptbr-0023,1443756013304356864,negativo,"APELO_A_AUTORIDADE, LINK_EXTERNO, SINAL_CERTEZA"
fnxptbr-0024,1135673714668920832,positivo,"APELO_A_AUTORIDADE, LINK_EXTERNO, SINAL_CERTEZA, URL_CURTA"
fnxptbr-0025,1254151388235542528,negativo,"APELO_A_AUTORIDADE, CITACAO_CIENTIFICA, HIPERBOLE, LINK_EXTERNO, POLARIZACAO_NOS_VS_ELES, USER_MENTION"
fnxptbr-0026,1004862842502307841,positivo,"ALERTA_URGENTE, APELO_A_AUTORIDADE, CALL_TO_ACTION, CITACAO_CIENTIFICA, LINK_EXTERNO, PRONOME_COLETIVO, SINAL_CERTEZA"
fnxptbr-0027,1158839224734486528,negativo,"LINK_EXTERNO, URL_CURTA"
fnxptbr-0028,1126660215179550721,negativo,"ALERTA_URGENTE, CAIXA_ALTA, CALL_TO_ACTION, HIPERBOLE, LINK_EXTERNO, SINAL_CERTEZA"
fnxptbr-0029,1171725657488973825,neutro,"EMOJI, LINK_EXTERNO, URL_CURTA"
fnxptbr-0030,1178347056097824769,negativo,"HIPERBOLE, IRONIA_SARCASMO, LINK_EXTERNO, POLARIZACAO_NOS_VS_ELES, SINAL_CERTEZA"
fnxptbr-0031,1179200547393548291,negativo,"ALERTA_URGENTE, CALL_TO_ACTION, POLARIZACAO_NOS_VS_ELES, SINAL_CERTEZA"
fnxptbr-0032,1181403866274914307,positivo,"APELO_A_AUTORIDADE, IRONIA_SARCASMO, LINK_EXTERNO, PALAVRAO, POLARIZACAO_NOS_VS_ELES, PRONOME_COLETIVO, SINAL_CERTEZA"
fnxptbr-0033,1182570412577824768,negativo,"ALERTA_URGENTE, LINK_EXTERNO, PONTUACAO_EXCESSIVA, SINAL_CERTEZA"
fnxptbr-0034,1472056086479970317,negativo,"APELO_A_AUTORIDADE, CAIXA_ALTA, CALL_TO_ACTION, HASHTAG, IRONIA_SARCASMO, LINK_EXTERNO, POLARIZACAO_NOS_VS_ELES, PONTUACAO_EXCESSIVA"
fnxptbr-0035,1189373762283683840,negativo,"ALERTA_URGENTE, APELO_A_AUTORIDADE, CALL_TO_ACTION, EMOJI, HASHTAG, LINK_EXTERNO, POLARIZACAO_NOS_VS_ELES, PONTUACAO_EXCESSIVA, SINAL_CERTEZA"
fnxptbr-0036,1197694093046034433,neutro,"CAIXA_ALTA, URL_CURTA"
fnxptbr-0037,1204438388755042304,negativo,"HIPERBOLE, IRONIA_SARCASMO, POLARIZACAO_NOS_VS_ELES, PRESENCA_DE_RISADA"
fnxptbr-0038,1379575140497952768,negativo,"APELO_A_AUTORIDADE, IRONIA_SARCASMO, POLARIZACAO_NOS_VS_ELES, PRONOME_COLETIVO"
fnxptbr-0039,1260147690786209792,negativo,"APELO_A_AUTORIDADE, CITACAO_CIENTIFICA, DISCRIMINACAO, IRONIA_SARCASMO, PALAVRAO, PONTUACAO_INTERCALADA"
fnxptbr-0040,1200047440436617221,negativo,"ALERTA_URGENTE, IRONIA_SARCASMO, POLARIZACAO_NOS_VS_ELES, PONTUACAO_EXCESSIVA, SINAL_CERTEZA"
fnxptbr-0041,1226644979612819463,positivo,"APELO_A_AUTORIDADE, CAIXA_ALTA, CALL_TO_ACTION, LINK_EXTERNO, PONTUACAO_EXCESSIVA, PRESENCA_DE_DATA, PRONOME_COLETIVO, SINAL_CERTEZA"
fnxptbr-0042,1234338182638034944,negativo,"ALERTA_URGENTE, APELO_A_AUTORIDADE, CAIXA_ALTA, CALL_TO_ACTION, DISCRIMINACAO, LINK_EXTERNO, POLARIZACAO_NOS_VS_ELES, PONTUACAO_EXCESSIVA, SINAL_CERTEZA"
fnxptbr-0043,1237929556427837440,positivo,"APELO_A_AUTORIDADE, CALL_TO_ACTION, SINAL_CERTEZA"
fnxptbr-0044,1239618559069884418,positivo,"APELO_A_AUTORIDADE, LINK_EXTERNO, PRONOME_COLETIVO, SINAL_CERTEZA"
fnxptbr-0045,1244586612358602754,negativo,"ALERTA_URGENTE, CAIXA_ALTA, HASHTAG, PONTUACAO_EXCESSIVA, SINAL_CERTEZA, URL_CURTA"
fnxptbr-0046,1242859340840800257,negativo,"EMOJI, HASHTAG, IRONIA_SARCASMO, POLARIZACAO_NOS_VS_ELES, PRESENCA_DE_RISADA, PRONOME_COLETIVO, SINAL_CERTEZA"
fnxptbr-0047,1245079417933742081,positivo,"APELO_A_AUTORIDADE, CAIXA_ALTA, LINK_EXTERNO, SINAL_CERTEZA"
fnxptbr-0048,1247256039088697344,negativo,"CAIXA_ALTA, IRONIA_SARCASMO, LINK_EXTERNO, PALAVRAO, POLARIZACAO_NOS_VS_ELES, PONTUACAO_EXCESSIVA, PRESENCA_DE_RISADA"
fnxptbr-0049,1377729454059978759,negativo,"EMOJI, IRONIA_SARCASMO, LINK_EXTERNO, PALAVRAO, POLARIZACAO_NOS_VS_ELES, SINAL_DUVIDA"
fnxptbr-0050,1249525607689531392,negativo,"APELO_A_AUTORIDADE, CITACAO_CIENTIFICA, POLARIZACAO_NOS_VS_ELES, SINAL_CERTEZA"
fnxptbr-0051,1250611372020371456,negativo,"ALERTA_URGENTE, APELO_A_AUTORIDADE, CAIXA_ALTA, EMOJI, HASHTAG, HIPERBOLE, LINK_EXTERNO, POLARIZACAO_NOS_VS_ELES, PONTUACAO_EXCESSIVA, SINAL_CERTEZA"
fnxptbr-0052,1252995394939781120,negativo,"APELO_A_AUTORIDADE, HIPERBOLE, LINK_EXTERNO, METAFORA, NUMERACAO, POLARIZACAO_NOS_VS_ELES, SINAL_CERTEZA"
fnxptbr-0053,1253226695181680640,negativo,"CALL_TO_ACTION, HIPERBOLE, IRONIA_SARCASMO, POLARIZACAO_NOS_VS_ELES, SINAL_CERTEZA"
fnxptbr-0054,1252670239940190209,negativo,"APELO_A_AUTORIDADE, HIPERBOLE, LINK_EXTERNO, POLARIZACAO_NOS_VS_ELES, SINAL_CERTEZA, USER_MENTION"
fnxptbr-0055,1449248180365893637,neutro,"LINK_EXTERNO, URL_CURTA, USER_MENTION"
fnxptbr-0056,1258520500700983296,negativo,"ALERTA_URGENTE, APELO_A_AUTORIDADE, CAIXA_ALTA, CALL_TO_ACTION, EMOJI, HIPERBOLE, PONTUACAO_EXCESSIVA, SINAL_CERTEZA"
fnxptbr-0057,1249417025539248129,negativo,"ALERTA_URGENTE, CALL_TO_ACTION, HIPERBOLE, POLARIZACAO_NOS_VS_ELES, PONTUACAO_EXCESSIVA, SINAL_DUVIDA"
