record_id,tweet_id,categoria,label,source_record_count,all_assigned_categories,source_record_ids,category_conflict
fnxptbr-0001,1000008762776748033,política,fake,1,"[""política""]","[""fnxptbr-0001""]",False
fnxptbr-0002,979056787864383489,política,fake,1,"[""política""]","[""fnxptbr-0002""]",False
fnxptbr-0003,1293123987619356672,política,fake,1,"[""política""]","[""fnxptbr-0003""]",False
fnxptbr-0004,1029836675093078016,política,fake,1,"[""política""]","[""fnxptbr-0004""]",False
fnxptbr-0005,1532386348677709824,política,fake,1,"[""política""]","[""fnxptbr-0005""]",False
fnxptbr-0006,1042602160599523328,política,fake,1,"[""política""]","[""fnxptbr-0006""]",False
fnxptbr-0007,1044770606020009984,política,fake,1,"[""política""]","[""fnxptbr-0007""]",False
fnxptbr-0008,1047608248583573505,política,fake,1,"[""política""]","[""fnxptbr-0008""]",False
fnxptbr-0009,1055427879323009025,política,fake,1,"[""política""]","[""fnxptbr-0009""]",False
fnxptbr-0010,1056315078763577344,política,fake,1,"[""política""]","[""fnxptbr-0010""]",False
fnxptbr-0011,1059942049414369287,política,fake,1,"[""política""]","[""fnxptbr-0011""]",False
fnxptbr-0012,1038209526539927552,política,fake,1,"[""política""]","[""fnxptbr-0012""]",False
fnxptbr-0013,1147518712657960960,política,fake,1,"[""política""]","[""fnxptbr-0013""]",False
fnxptbr-0014,1080429571286155264,política,fake,1,"[""política""]","[""fnxptbr-0014""]",False
fnxptbr-0015,1081765178595835910,política,fake,1,"[""política""]","[""fnxptbr-0015""]",False
fnxptbr-0016,1366820525935362054,política,fake,1,"[""política""]","[""fnxptbr-0016""]",False
fnxptbr-0017,1495393972981846017,política,fake,1,"[""política""]","[""fnxptbr-0017""]",False
fnxptbr-0018,1098976481714364416,política,fake,1,"[""política""]","[""fnxptbr-0018""]",False
fnxptbr-0019,1105985865988362240,política,fake,1,"[""política""]","[""fnxptbr-0019""]",False
fnxptbr-0020,1578375319907487745,política,fake,1,"[""política""]","[""fnxptbr-0020""]",False
fnxptbr-0021,1126196068352446464,política,fake,1,"[""política""]","[""fnxptbr-0021""]",False
fnxptbr-0022,1194936725174394886,política,fake,1,"[""política""]","[""fnxptbr-0022""]",False
fnxptbr-0023,1443756013304356864,política,fake,1,"[""política""]","[""fnxptbr-0023""]",False
fnxptbr-0024,1135673714668920832,política,fake,1,"[""política""]","[""fnxptbr-0024""]",False
fnxptbr-0025,1254151388235542528,política,fake,1,"[""política""]","[""fnxptbr-0025""]",False
fnxptbr-0026,1004862842502307841,outros,fake,1,"[""outros""]","[""fnxptbr-0026""]",False
fnxptbr-0027,1158839224734486528,política,fake,1,"[""política""]","[""fnxptbr-0027""]",False
fnxptbr-0028,1126660215179550721,política,fake,1,"[""política""]","[""fnxptbr-0028""]",False
fnxptbr-0029,1171725657488973825,ambiente,fake,1,"[""ambiente""]","[""fnxptbr-0029""]",False
fnxptbr-0030,1178347056097824769,outros,fake,1,"[""outros""]","[""fnxptbr-0030""]",False
fnxptbr-0031,1179200547393548291,política,fake,1,"[""política""]","[""fnxptbr-0031""]",False
fnxptbr-0032,1181403866274914307,política,fake,1,"[""política""]","[""fnxptbr-0032""]",False
fnxptbr-0033,1182570412577824768,outros,fake,1,"[""outros""]","[""fnxptbr-0033""]",False
fnxptbr-0034,1472056086479970317,outros,fake,1,"[""outros""]","[""fnxptbr-0034""]",False
fnxptbr-0035,1189373762283683840,ambiente,fake,1,"[""ambiente""]","[""fnxptbr-0035""]",False
fnxptbr-0036,1197694093046034433,política,fake,1,"[""política""]","[""fnxptbr-0036""]",False
fnxptbr-0037,1204438388755042304,ambiente,fake,1,"[""ambiente""]","[""fnxptbr-0037""]",False
fnxptbr-0038,1379575140497952768,política,fake,1,"[""política""]","[""fnxptbr-0038""]",False
fnxptbr-0039,1260147690786209792,política,fake,1,"[""política""]","[""fnxptbr-0039""]",False
fnxptbr-0040,1200047440436617221,ambiente,fake,1,"[""ambiente""]","[""fnxptbr-0040""]",False
fnxptbr-0041,1226644979612819463,política,fake,1,"[""política""]","[""fnxptbr-0041""]",False
fnxptbr-0042,1234338182638034944,política,fake,1,"[""política""]","[""fnxptbr-0042""]",False
fnxptbr-0043,1237929556427837440,saúde,fake,1,"[""saúde""]","[""fnxptbr-0043""]",False
fnxptbr-0044,1239618559069884418,política,fake,1,"[""política""]","[""fnxptbr-0044""]",False
fnxptbr-0045,1244586612358602754,política,fake,1,"[""política""]","[""fnxptbr-0045""]",False
fnxptbr-0046,1242859340840800257,política,fake,1,"[""política""]","[""fnxptbr-0046""]",False
fnxptbr-0047,1245079417933742081,saúde,fake,1,"[""saúde""]","[""fnxptbr-0047""]",False
fnxptbr-0048,1247256039088697344,saúde,fake,1,"[""saúde""]","[""fnxptbr-0048""]",False
fnxptbr-0049,1377729454059978759,saúde,fake,1,"[""saúde""]","[""fnxptbr-0049""]",False
fnxptbr-0050,1249525607689531392,saúde,fake,1,"[""saúde""]","[""fnxptbr-0050""]",False
fnxptbr-0051,1250611372020371456,política,fake,1,"[""política""]","[""fnxptbr-0051""]",False
fnxptbr-0052,1252995394939781120,saúde,fake,1,"[""saúde""]","[""fnxptbr-0052""]",False
fnxptbr-0053,1253226695181680640,saúde,fake,1,"[""saúde""]","[""fnxptbr-0053""]",False
fnxptbr-0054,1252670239940190209,saúde,fake,1,"[""saúde""]","[""fnxptbr-0054""]",False
fnxptbr-0055,1449248180365893637,saúde,fake,1,"[""saúde""]","[""fnxptbr-0055""]",False
fnxptbr-0056,1258520500700983296,saúde,fake,1,"[""saúde""]","[""fnxptbr-0056""]",False
fnxptbr-0057,1249417025539248129,saúde,fake,1,"[""saúde""]","[""fnxptbr-0057""]",False
fnxptbr-0058,1261416145845796864,saúde,fake,1,"[""saúde""]","[""fnxptbr-0058""]",False
fnxptbr-0059,1265128345286709250,política,fake,1,"[""política""]","[""fnxptbr-0059""]",False
fnxptbr-0060,1267220518501056512,política,fake,1,"[""política""]","[""fnxptbr-0060""]",False
fnxptbr-0061,1765076444043190309,política,fake,1,"[""política""]","[""fnxptbr-0061""]",False
fnxptbr-0062,1267942051376697345,política,fake,1,"[""política""]","[""fnxptbr-0062""]",False
fnxptbr-0063,1256390443685871616,política,fake,1,"[""política""]","[""fnxptbr-0063""]",False
fnxptbr-0064,1423698715471134727,política,fake,1,"[""política""]","[""fnxptbr-0064""]",False
fnxptbr-0065,1276083908099047424,política,fake,1,"[""política""]","[""fnxptbr-0065""]",False
fnxptbr-0066,1366077951524171785,política,fake,1,"[""política""]","[""fnxptbr-0066""]",False
fnxptbr-0067,1279986689579114496,saúde,fake,1,"[""saúde""]","[""fnxptbr-0067""]",False
fnxptbr-0068,1278726363818704898,política,fake,1,"[""política""]","[""fnxptbr-0068""]",False
fnxptbr-0069,1287861057508212736,outros,fake,1,"[""outros""]","[""fnxptbr-0069""]",False
fnxptbr-0070,1287691285176946688,saúde,fake,1,"[""saúde""]","[""fnxptbr-0070""]",False
fnxptbr-0071,1287767047863242752,celebridades,fake,1,"[""celebridades""]","[""fnxptbr-0071""]",False
fnxptbr-0072,1292239076414959618,saúde,fake,1,"[""saúde""]","[""fnxptbr-0072""]",False
fnxptbr-0073,1292923460868542468,política,fake,1,"[""política""]","[""fnxptbr-0073""]",False
fnxptbr-0074,1294759463228977157,saúde,fake,1,"[""saúde""]","[""fnxptbr-0074""]",False
fnxptbr-0075,1293195383934525440,saúde,fake,1,"[""saúde""]","[""fnxptbr-0075""]",False
fnxptbr-0076,1295143440980873223,saúde,fake,1,"[""saúde""]","[""fnxptbr-0076""]",False
fnxptbr-0077,1269730973547212803,saúde,fake,1,"[""saúde""]","[""fnxptbr-0077""]",False
fnxptbr-0078,1296596698240712704,saúde,fake,1,"[""saúde""]","[""fnxptbr-0078""]",False
fnxptbr-0079,1444776060294516737,política,fake,1,"[""política""]","[""fnxptbr-0079""]",False
fnxptbr-0080,1339408650062999552,saúde,fake,1,"[""saúde""]","[""fnxptbr-0080""]",False
fnxptbr-0081,1306603857317855232,saúde,fake,1,"[""saúde""]","[""fnxptbr-0081""]",False
fnxptbr-0082,1426258912022519809,economia,fake,1,"[""economia""]","[""fnxptbr-0082""]",False
fnxptbr-0083,1305594554490462208,política,fake,1,"[""política""]","[""fnxptbr-0083""]",False
fnxptbr-0084,1308710233599025153,política,fake,1,"[""política""]","[""fnxptbr-0084""]",False
fnxptbr-0085,1310299640458285057,outros,fake,1,"[""outros""]","[""fnxptbr-0085""]",False
fnxptbr-0086,1309870492174745601,ambiente,fake,1,"[""ambiente""]","[""fnxptbr-0086""]",False
fnxptbr-0087,1559926178701627392,política,fake,1,"[""política""]","[""fnxptbr-0087""]",False
fnxptbr-0088,1309084033721208836,saúde,fake,1,"[""saúde""]","[""fnxptbr-0088""]",False
fnxptbr-0089,1308025950324613125,política,fake,1,"[""política""]","[""fnxptbr-0089""]",False
fnxptbr-0090,1465457240941502464,saúde,fake,1,"[""saúde""]","[""fnxptbr-0090""]",False
fnxptbr-0091,1260598876685438976,outros,fake,1,"[""outros""]","[""fnxptbr-0091""]",False
fnxptbr-0092,1316782584815325184,política,fake,1,"[""política""]","[""fnxptbr-0092""]",False
fnxptbr-0093,1318710146596524032,política,fake,1,"[""política""]","[""fnxptbr-0093""]",False
fnxptbr-0094,1315696847822958592,política,fake,1,"[""política""]","[""fnxptbr-0094""]",False
fnxptbr-0095,1318649483622842371,política,fake,1,"[""política""]","[""fnxptbr-0095""]",False
fnxptbr-0096,1319061671214780420,política,fake,1,"[""política""]","[""fnxptbr-0096""]",False
fnxptbr-0097,1319737939568492548,saúde,fake,1,"[""saúde""]","[""fnxptbr-0097""]",False
fnxptbr-0098,1319738213880287232,saúde,fake,1,"[""saúde""]","[""fnxptbr-0098""]",False
fnxptbr-0099,1154102383628247040,política,fake,1,"[""política""]","[""fnxptbr-0099""]",False
fnxptbr-0100,1317302038280228865,celebridades,fake,1,"[""celebridades""]","[""fnxptbr-0100""]",False
fnxptbr-0101,1580295880963289088,política,fake,1,"[""política""]","[""fnxptbr-0101""]",False
fnxptbr-0102,1459177528925601794,política,fake,1,"[""política""]","[""fnxptbr-0102""]",False
fnxptbr-0103,1474889674552487946,política,fake,1,"[""política""]","[""fnxptbr-0103""]",False
fnxptbr-0104,1503429350372384777,política,fake,1,"[""política""]","[""fnxptbr-0104""]",False
fnxptbr-0105,1319001340455145473,saúde,fake,1,"[""saúde""]","[""fnxptbr-0105""]",False
fnxptbr-0106,1328498044678049797,política,fake,1,"[""política""]","[""fnxptbr-0106""]",False
fnxptbr-0107,1332351623549640705,política,fake,1,"[""política""]","[""fnxptbr-0107""]",False
fnxptbr-0108,1441425858518913030,saúde,fake,1,"[""saúde""]","[""fnxptbr-0108""]",False
fnxptbr-0109,1416191845785350151,política,fake,1,"[""política""]","[""fnxptbr-0109""]",False
fnxptbr-0110,1607348429667155968,saúde,fake,1,"[""saúde""]","[""fnxptbr-0110""]",False
fnxptbr-0111,1449278795463204866,saúde,fake,1,"[""saúde""]","[""fnxptbr-0111""]",False
fnxptbr-0112,1326521227494748160,saúde,fake,1,"[""saúde""]","[""fnxptbr-0112""]",False
fnxptbr-0113,1347693184000909315,saúde,fake,1,"[""saúde""]","[""fnxptbr-0113""]",False
fnxptbr-0114,1339261187511422983,saúde,fake,1,"[""saúde""]","[""fnxptbr-0114""]",False
fnxptbr-0115,1340863040904978433,saúde,fake,1,"[""saúde""]","[""fnxptbr-0115""]",False
fnxptbr-0116,1344971981238710272,saúde,fake,1,"[""saúde""]","[""fnxptbr-0116""]",False
fnxptbr-0117,1351140744178884609,saúde,fake,1,"[""saúde""]","[""fnxptbr-0117""]",False
fnxptbr-0118,1351635497832108032,saúde,fake,1,"[""saúde""]","[""fnxptbr-0118""]",False
fnxptbr-0119,1357324759852285954,outros,fake,1,"[""outros""]","[""fnxptbr-0119""]",False
fnxptbr-0120,1332119227688316928,saúde,fake,1,"[""saúde""]","[""fnxptbr-0120""]",False
fnxptbr-0121,1358004098012971008,política,fake,1,"[""política""]","[""fnxptbr-0121""]",False
fnxptbr-0122,1357901989863174144,saúde,fake,1,"[""saúde""]","[""fnxptbr-0122""]",False
fnxptbr-0123,1367305569011458051,saúde,fake,1,"[""saúde""]","[""fnxptbr-0123""]",False
fnxptbr-0124,1234410750485069825,política,fake,1,"[""política""]","[""fnxptbr-0124""]",False
fnxptbr-0125,1375086630957150212,política,fake,1,"[""política""]","[""fnxptbr-0125""]",False
fnxptbr-0126,1382019550150074373,política,fake,1,"[""política""]","[""fnxptbr-0126""]",False
fnxptbr-0127,1000519992281092098,política,fake,1,"[""política""]","[""fnxptbr-0127""]",False
fnxptbr-0128,1393911916624556033,política,fake,1,"[""política""]","[""fnxptbr-0128""]",False
fnxptbr-0129,1394271591089983489,política,fake,1,"[""política""]","[""fnxptbr-0129""]",False
fnxptbr-0130,1395410355665477648,política,fake,1,"[""política""]","[""fnxptbr-0130""]",False
fnxptbr-0131,1397283090561703941,política,fake,1,"[""política""]","[""fnxptbr-0131""]",False
fnxptbr-0132,1397007132298551298,política,fake,1,"[""política""]","[""fnxptbr-0132""]",False
fnxptbr-0133,1400622078169075715,saúde,fake,1,"[""saúde""]","[""fnxptbr-0133""]",False
fnxptbr-0134,1398011246587351048,saúde,fake,1,"[""saúde""]","[""fnxptbr-0134""]",False
fnxptbr-0135,1404605621203312642,saúde,fake,1,"[""saúde""]","[""fnxptbr-0135""]",False
fnxptbr-0136,1407631765645279235,saúde,fake,1,"[""saúde""]","[""fnxptbr-0136""]",False
fnxptbr-0137,1532037186782220290,política,fake,1,"[""política""]","[""fnxptbr-0137""]",False
fnxptbr-0138,1410932167014858754,política,fake,1,"[""política""]","[""fnxptbr-0138""]",False
fnxptbr-0139,1414550995607113728,política,fake,1,"[""política""]","[""fnxptbr-0139""]",False
fnxptbr-0140,1420693001521803270,saúde,fake,1,"[""saúde""]","[""fnxptbr-0140""]",False
fnxptbr-0141,1468013432997879812,saúde,fake,1,"[""saúde""]","[""fnxptbr-0141""]",False
fnxptbr-0142,1423579854193184772,política,fake,1,"[""política""]","[""fnxptbr-0142""]",False
fnxptbr-0143,1420031323071262725,política,fake,1,"[""política""]","[""fnxptbr-0143""]",False
fnxptbr-0144,1427213768870690828,política,fake,1,"[""política""]","[""fnxptbr-0144""]",False
fnxptbr-0145,1427366721405468680,política,fake,1,"[""política""]","[""fnxptbr-0145""]",False
fnxptbr-0146,1431704774613868549,política,fake,1,"[""política""]","[""fnxptbr-0146""]",False
fnxptbr-0147,1437444566051852297,política,fake,1,"[""política""]","[""fnxptbr-0147""]",False
fnxptbr-0148,1306031776335302656,política,fake,1,"[""política""]","[""fnxptbr-0148""]",False
fnxptbr-0149,1450445275307335685,política,fake,1,"[""política""]","[""fnxptbr-0149""]",False
fnxptbr-0150,1316545168569511936,saúde,fake,1,"[""saúde""]","[""fnxptbr-0150""]",False
fnxptbr-0151,1552376614717202432,política,fake,1,"[""política""]","[""fnxptbr-0151""]",False
fnxptbr-0152,1466845332931817480,política,fake,1,"[""política""]","[""fnxptbr-0152""]",False
fnxptbr-0153,1470810241608859648,política,fake,1,"[""política""]","[""fnxptbr-0153""]",False
fnxptbr-0154,1470818820109619206,política,fake,2,"[""política"", ""saúde""]","[""fnxptbr-0154"", ""fnxptbr-0155""]",True
fnxptbr-0156,1525146835677065217,política,fake,1,"[""política""]","[""fnxptbr-0156""]",False
fnxptbr-0157,1481221957601406977,política,fake,1,"[""política""]","[""fnxptbr-0157""]",False
fnxptbr-0158,1546542926859276291,saúde,fake,1,"[""saúde""]","[""fnxptbr-0158""]",False
fnxptbr-0159,1396896956497211398,saúde,fake,1,"[""saúde""]","[""fnxptbr-0159""]",False
fnxptbr-0160,1324186963986055169,política,fake,1,"[""política""]","[""fnxptbr-0160""]",False
